id	name	formula	charge	inchikey	smiles	deltag	kegg id	ms id
xcpd__1091_c0		C5H2NOP						
xcpd__1429_c0		C7H11NO						
xcpd__1883_c0		C4H12N4O						
xcpd__2595_c0		C6H7N3O2						
xcpd__2676_c0		C5H11N5O						
xcpd__2727_c0		C9H4O3						
xcpd__2898_c0		C6H6N3OP						
xcpd__2899_c0		C6H6N3OP						
xcpd__2968_c0		C5H2NO4P						
xcpd__2985_c0		C7H8O3S						
xcpd__2987_c0		C8H12O4						
xcpd__3120_c0		C9H10O4						
xcpd__3140_c0		C9H12O4						
xcpd__3161_c0		C8H10O5						
xcpd__3163_c0		C9H14O4						
xcpd__3172_c0		C9H17NO3						
xcpd__3182_c0		C8H12O5						
xcpd__3183_c0		C9H16O4						
xcpd__3187_c0		C10H20O3						
xcpd__3220_c0		C6H8O7						
xcpd__3221_c0		C10H8O4						
xcpd__3238_c0		C10H10O4						
xcpd__3240_c0		C11H14O3						
xcpd__3243_c0		C8H19O3P						
xcpd__3257_c0		C10H13NO3						
xcpd__3268_c0		C9H8O5						
xcpd__3270_c0		C10H12O4						
xcpd__3282_c0		C9H11NO4						
xcpd__3290_c0		C9H10O5						
xcpd__3292_c0		C10H14O4						
xcpd__3294_c0		C9H18N4O						
xcpd__3304_c0		C8H9NO5						
xcpd__3318_c0		C8H8O4S						
xcpd__3321_c0		C9H12O5						
xcpd__3322_c0		C10H16O4						
xcpd__3338_c0		C8H11NO5						
xcpd__3342_c0		C8H10O4S						
xcpd__3343_c0		C8H10O6						
xcpd__3344_c0		C9H14O5						
xcpd__3345_c0		C10H18O4						
xcpd__3356_c0		C6H10N3O3P						
xcpd__3365_c0		C8H12O6						
xcpd__3367_c0		C9H16O5						
xcpd__3368_c0		C10H20O4						
xcpd__3392_c0		C11H10O4						
xcpd__3394_c0		C12H14O3						
xcpd__3404_c0		C10H9NO4						
xcpd__3413_c0		C10H8O5						
xcpd__3414_c0		C8H8N4O3						
xcpd__3415_c0		C11H12O4						
xcpd__3416_c0		C12H16O3						
xcpd__3424_c0		C10H11NO4						
xcpd__3425_c0		C11H15NO3						
xcpd__3435_c0		C9H6O6						
xcpd__3438_c0		C10H10O5						
xcpd__3440_c0		C11H14O4						
xcpd__3441_c0		C10H14N2O3						
xcpd__3442_c0		C12H18O3						
